timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
1968347.4248038752, 0.08352634269744158, -9.13116282105446, 3.7856277465820316, 0.011274313554167747, 0.06124269217252731, -0.07218369841575623
1968347.4348288751, 0.3436852661892772, -9.069041417241097, 3.826344248056412, -0.011934868060052395, 0.05103239789605141, -0.0399051234126091
1968347.444854875, 0.5411247984319926, -9.063653792738915, 3.795808041393757, -0.017843063920736313, 0.01818595826625824, 0.003913873806595802
1968347.454879875, 0.5472619263455272, -9.125622584223748, 3.723806304931641, -0.005690258927643299, -0.02189408242702484, 0.035034775733947754
1968347.464904875, 0.43963562652468685, -9.138644918203354, 3.619622955322266, 0.02055431716144085, -0.05099049583077431, 0.05219143629074097
1968347.474930875, 0.36733601097017526, -9.122928187251091, 3.577411028444767, 0.04998251423239708, -0.0803462490439415, 0.06070023775100708
1968347.4849558752, 0.29309051513671874, -9.18056126832962, 3.5863926440477374, 0.07654345035552979, -0.11381057649850845, 0.061318494379520416
1968347.4949818752, 0.18606315292418005, -9.246274031996727, 3.578010368049145, 0.09943891316652298, -0.13116319477558136, 0.04983973503112793
1968347.5050068751, 0.06676105979830027, -9.267826868891717, 3.5119970574975015, 0.11394977569580078, -0.11955729871988297, 0.030828889459371567
1968347.5150328751, -0.04849929168820381, -9.284142354726791, 3.5396897631883624, 0.11607657372951508, -0.08781029284000397, -0.003327482845634222
1968347.525057875, -0.08158042587339878, -9.284144108891487, 3.581003850102425, 0.10506083071231842, -0.03939679637551308, -0.04386686161160469
1968347.535082875, -0.031135180816054344, -9.20405888915062, 3.5986665344238284, 0.08999080210924149, 0.011111117899417877, -0.0806477814912796
1968347.545108875, 0.144749175645411, -9.163945235610008, 3.7223100024461746, 0.07081973552703857, 0.042877376079559326, -0.09749960899353027
1968347.5551338752, 0.4055066347494722, -9.110203476548195, 3.8775354516506195, 0.04727792739868164, 0.031140562146902084, -0.09044516086578369
1968347.5651598752, 0.5700147580727936, -9.068295312523842, 4.0288730871677405, 0.02189061790704727, -0.009805956855416298, -0.07004205137491226
1968347.5751848752, 0.6153704404458404, -8.991504998803139, 4.047135111093521, 0.004484464880079031, -0.0485224574804306, -0.04638492316007614
1968347.5852108751, 0.5626797914877534, -8.971592305898668, 3.9901037085056306, -0.007062080316245556, -0.08241946995258331, -0.024368122220039368
1968347.595235875, 0.4375400575250387, -9.025332310795784, 3.8607726538181306, -0.010741237550973892, -0.09355654567480087, -0.021000288426876068
1968347.605260875, 0.3228786801919341, -9.058414687514306, 3.6908759558200837, -0.005316712893545628, -0.06789617240428925, -0.028480174019932747
1968347.615286875, 0.2643504269421101, -9.020992507338525, 3.599865213632584, -3.486592322587967e-05, -0.024979600682854652, -0.03643663227558136
1968347.625311875, 0.30267084907740355, -9.008868890404703, 3.572772432267666, -0.002910381183028221, 0.0268227718770504, -0.04621961712837219
1968347.6353378752, 0.42107459060847763, -9.002132313251495, 3.6233660504221916, -0.013180595822632313, 0.061210572719573975, -0.05145405977964401
1968347.6453628752, 0.5417232609540225, -8.967253087162971, 3.7217147558927537, -0.027556218206882477, 0.07972723245620728, -0.03906964883208275
1968347.6553888752, 0.6385721556097269, -8.915611647963525, 3.772306327521801, -0.04109359532594681, 0.09674829989671707, -0.011728571727871895
1968347.6654138751, 0.6825804933160544, -8.878187713623047, 3.846850725710392, -0.0503336563706398, 0.09015043824911118, 0.024631112813949585
1968347.675438875, 0.6465058405324817, -8.926987990736961, 3.872148996591568, -0.050066009163856506, 0.05305739492177963, 0.05120733007788658
1968347.685464875, 0.5295988034829497, -9.042847060561181, 3.888016878068447, -0.040848370641469955, 0.002986065112054348, 0.05405557155609131
1968347.695489875, 0.35715739723294976, -9.149874495863916, 3.834128938615322, -0.026123754680156708, -0.041648782789707184, 0.0361173152923584
1968347.705515875, 0.21734805900603535, -9.176217371821403, 3.7366804119944574, -0.013623620383441448, -0.059747375547885895, -0.00048272241838276386
1968347.7155408752, 0.1579216003417969, -9.206305974125863, 3.625611088871956, -0.009771625511348248, -0.03600822016596794, -0.028093844652175903
1968347.7255668752, 0.2043250672146678, -9.17337270140648, 3.5789076232910157, -0.01884259097278118, 0.014783577993512154, -0.03964368253946304
1968347.7355918752, 0.3067122983559966, -9.112453485131264, 3.6224685028195385, -0.03309716284275055, 0.05774542689323425, -0.03680528700351715
1968347.7456168751, 0.4087999327853322, -9.049881260991096, 3.7402720642089844, -0.05369497090578079, 0.08113207668066025, -0.02561924234032631
1968347.755642875, 0.48993129249662165, -9.035662001967431, 3.824098040163517, -0.07014185190200806, 0.07771097868680954, -0.005182144232094288
1968347.765667875, 0.5123845640569925, -9.037007446289063, 3.88232666015625, -0.08275439590215683, 0.04996079206466675, -0.0009258361533284187
1968347.775693875, 0.439635809250176, -9.070238927006722, 3.9086721673607827, -0.09055745601654053, 0.005285469815135002, -0.015810243785381317
1968347.785718875, 0.3170407104492188, -9.112449392080308, 3.8687044018507004, -0.08477382361888885, -0.03931736573576927, -0.04432477802038193
1968347.7957448752, 0.2622544924914837, -9.200617218017578, 3.8025419872999193, -0.07844322174787521, -0.08278308063745499, -0.0887170061469078
1968347.8057698752, 0.31329838279634714, -9.190587489008903, 3.8131704711914063, -0.0801224410533905, -0.13228508830070496, -0.11927879601716995
1968347.8157948751, 0.43185195922851566, -9.078922626972199, 3.6950678247213364, -0.08065081387758255, -0.12864269316196442, -0.12119680643081665
1968347.8258208751, 0.5438190492242575, -9.013056666254998, 3.5030154418945316, -0.07818854600191116, -0.0878562182188034, -0.10126584023237228
1968347.835845875, 0.6113288084417582, -8.978479741215706, 3.374881312251091, -0.0701516643166542, -0.03977018594741821, -0.07429574429988861
1968347.845871875, 0.626746527403593, -9.029522425532342, 3.356768977046013, -0.05624298378825188, -0.01290050521492958, -0.0634896531701088
1968347.855896875, 0.5204679011553526, -9.070539473891259, 3.41455116212368, -0.03957745432853699, -0.005800783634185791, -0.06871397793292999
1968347.865922875, 0.43379787605255843, -9.107210871577264, 3.4997225823998455, -0.008450241759419441, -0.0009884964674711227, -0.0775042250752449
1968347.8759478752, 0.4495152282714844, -9.167236633300782, 3.579506378173828, 0.01669931970536709, -0.017260143533349037, -0.09264163672924042
1968347.8859738752, 0.4824467468261719, -9.222620290517808, 3.783831774294377, 0.029190421104431152, -0.08211313188076019, -0.12245923280715942
1968347.8959988751, 0.42661270782351496, -9.257648620605469, 3.865711212158203, 0.03286292031407356, -0.14387822151184082, -0.17994622886180878
1968347.906023875, 0.38455046966671946, -9.092543715834617, 3.8157160565257073, 0.0486236996948719, -0.1912274807691574, -0.22536972165107727
1968347.916049875, 0.48319533661007885, -8.940458806157112, 3.6742602154612545, 0.056636352092027664, -0.19612263143062592, -0.2396530658006668
1968347.926074875, 0.6483020686358214, -8.980874760746957, 3.449428049325943, 0.0664018988609314, -0.157915860414505, -0.22234703600406647
1968347.936100875, 0.8054750791937113, -8.9398600512743, 3.2989911773800853, 0.07782446593046188, -0.09042416512966156, -0.1741531491279602
1968347.9461258752, 0.9084606997668744, -8.909472656250001, 3.280728276371956, 0.07985095679759979, -0.001977222040295601, -0.11849094182252884
1968347.9561518752, 0.8626559512317181, -8.892708104252815, 3.3965876385569573, 0.07246627658605576, 0.0489935502409935, -0.07981279492378235
